Product;;
Product;;
Product;Yield;Error
Rh114;2.2829E-4;1.7195E-4
Rh114m;6.638E-5;6.1422E-5
Rh115;2.061E-4;2.141E-5
Rh116;7.5926E-5;7.0725E-5
Rh116m;1.4123E-4;1.3485E-4
Rh117;1.3228E-4;1.0742E-4
Rh118;1.7641E-5;2.3096E-5
Rh119;9.1432E-6;8.156E-6
Rh120;1.3821E-5;1.0215E-5
Rh121;3.9467E-6;1.561E-6
Rh122;2.691E-7;2.4991E-7
Pd105;0.037268;0.0015653
Pd106;0.025065;0.0013285
Pd107;0.017304;0.001644
Pd108;0.00454;0.0029555
Pd109;0.0016172;1.1968E-4
Pd109m;8.0862E-4;8.2947E-5
Pd110;9.0621E-4;6.2892E-4
Pd111;6.4379E-4;2.3159E-5
Pd111m;2.6134E-6;3.5754E-7
Pd112;4.5823E-4;4.7922E-5
Pd113;3.1641E-4;5.9802E-5
Pd113m;9.0305E-6;3.8606E-6
Pd114;3.253E-4;2.4039E-4
Pd115;2.4273E-4;1.8461E-5
Pd115m;1.4986E-4;1.8278E-5
Pd116;4.5907E-4;3.7052E-4
Pd117;4.4256E-4;3.0115E-4
Pd117m;2.129E-4;1.6091E-4
Pd118;2.5514E-4;2.5424E-4
Pd119;1.3791E-4;9.5754E-5
Pd120;9.5806E-5;5.6025E-5
Pd121;3.0873E-5;9.3004E-6
Pd122;5.6665E-6;5.0576E-6
Pd123;7.611E-6;6.0381E-6
Pd124;2.563E-6;2.6357E-6
Ag109;0.0016172;1.1968E-4
Ag109m;0.0016164;1.1962E-4
Ag111;6.4129E-4;2.3088E-5
Ag111m;6.3975E-4;2.3036E-5
Ag112;4.5823E-4;4.7922E-5
Ag113;2.0734E-4;4.008E-5
Ag113m;3.0299E-4;5.7294E-5
Ag114;3.2537E-4;2.4045E-4
Ag114m;5.8019E-8;6.142E-8
Ag115;2.2045E-4;1.6366E-5
Ag115m;2.0497E-4;1.6498E-5
Ag116;4.6322E-4;3.7384E-4
Ag116m;9.723E-6;1.0836E-5
Ag117;2.4021E-4;1.682E-4
Ag117m;2.5056E-4;1.7489E-4
Ag118;2.7872E-4;2.7373E-4
Ag118m;1.0966E-4;1.175E-4
Ag119;8.4006E-5;6.004E-5
Ag119m;1.8199E-4;1.1896E-4
Ag120;1.2389E-4;6.5873E-5
Ag120m;1.0801E-4;5.9577E-5
Ag121;9.9453E-5;1.8478E-5
Ag122;3.1632E-5;2.4856E-5
Ag122m;2.7994E-5;2.3673E-5
Ag123;5.5886E-5;3.481E-5
Ag124;2.1566E-5;1.8396E-5
Ag124m;1.3312E-5;1.3324E-5
Ag125;1.272E-5;5.0499E-6
Ag126;1.8388E-5;8.127E-6
Ag127;9.9439E-6;3.5012E-6
Ag128;5.888E-6;2.6478E-6
Ag129;2.3566E-8;8.5493E-9
Ag130;7.9424E-10;3.8591E-10
Cd111;6.4449E-4;2.3159E-5
Cd112;4.5823E-4;4.7922E-5
Cd113;3.1283E-4;5.9127E-5
Cd113m;3.5846E-6;7.9286E-7
Cd114;3.2537E-4;2.4045E-4
Cd115;3.6496E-4;1.9399E-5
Cd115m;1.7417E-5;1.8481E-6
Cd116;4.7239E-4;3.8122E-4
Cd117;3.7682E-4;2.5691E-4
Cd117m;9.9333E-5;7.0114E-5
Cd118;3.4848E-4;3.3942E-4
Cd119;2.264E-4;1.4511E-4
Cd119m;4.8742E-5;3.5171E-5
Cd120;2.3997E-4;1.2407E-4
Cd121;1.1439E-4;1.9194E-5
Cd121m;8.1266E-5;1.5843E-5
Cd122;1.73E-4;1.1166E-4
Cd123;6.4104E-5;3.7499E-5
Cd123m;6.1569E-5;3.7219E-5
Cd124;2.0142E-4;1.4965E-4
Cd125;2.4778E-5;7.0209E-6
Cd125m;5.7894E-5;1.5607E-5
