Product;;
Product;;
Product;Yield;Error
Ru109;2.7986E-4;2.2401E-5
Ru110;2.3469E-4;2.5874E-5
Ru111;1.4825E-4;7.336E-6
Ru112;7.5925E-5;6.8191E-6
Ru113;3.1944E-5;5.6379E-6
Ru113m;2.0329E-5;5.2731E-6
Ru114;2.0198E-5;5.2334E-6
Ru115;3.7955E-6;1.3502E-6
Ru116;2.7003E-6;1.0326E-6
Ru117;5.0059E-10;1.901E-10
Ru118;1.7875E-11;7.5203E-12
Ru119;6.6446E-8;2.4586E-8
Ru120;5.3615E-9;2.0608E-9
Rh103;0.031118;6.5348E-4
Rh103m;0.030745;6.4721E-4
Rh105;0.0094881;1.044E-4
Rh105m;0.0026935;2.2341E-4
Rh106;0.0040958;9.4212E-5
Rh106m;1.2305E-8;5.6907E-9
Rh107;0.0013875;5.9664E-5
Rh108;5.6554E-4;3.3934E-5
Rh108m;2.6812E-6;1.0279E-6
Rh109;2.8457E-4;2.2766E-5
Rh110;2.4672E-4;2.7139E-5
Rh110m;3.2113E-7;1.2198E-7
Rh111;1.8961E-4;6.8794E-6
Rh112;9.2388E-5;7.1671E-6
Rh112m;1.6463E-5;4.3517E-6
Rh113;1.3046E-4;8.9726E-6
Rh114;4.4622E-5;6.1333E-6
Rh114m;2.4416E-5;4.9957E-6
Rh115;5.4603E-5;7.2767E-6
Rh116;7.9535E-6;2.1095E-6
Rh116m;1.2373E-5;4.1642E-6
Rh117;7.6089E-6;2.6351E-6
Rh118;3.9804E-6;1.6239E-6
Rh119;2.0086E-5;6.075E-6
Rh120;2.4872E-6;9.3112E-7
Rh121;3.8236E-7;1.4162E-7
Rh122;1.8085E-8;6.8607E-9
Pd105;0.0094881;1.044E-4
Pd106;0.0040958;9.4212E-5
Pd107;0.0013875;5.9664E-5
Pd108;5.6823E-4;3.408E-5
Pd109;2.8458E-4;2.2767E-5
Pd109m;1.4229E-4;1.5217E-5
Pd110;2.4729E-4;2.7202E-5
Pd111;1.9523E-4;7.0304E-6
Pd111m;5.3761E-6;1.5775E-6
Pd112;1.1739E-4;8.4523E-6
Pd113;1.5673E-4;1.0189E-5
Pd113m;1.8572E-5;5.4318E-6
Pd114;1.2689E-4;7.7417E-6
Pd115;6.8954E-5;6.6167E-6
Pd115m;4.329E-5;5.8218E-6
Pd116;1.4012E-4;9.5153E-6
Pd117;7.4734E-5;1.0745E-5
Pd117m;4.3737E-5;8.1535E-6
Pd118;7.6495E-5;2.016E-5
Pd119;4.5614E-5;9.5669E-6
Pd120;1.6104E-5;4.8026E-6
Pd121;1.6524E-6;4.9887E-7
Pd122;1.2837E-5;4.2647E-6
Pd123;9.0631E-7;3.2677E-7
Pd124;2.2504E-7;8.1572E-8
Ag109;2.8458E-4;2.2767E-5
Ag109m;2.8444E-4;2.2756E-5
Ag110;5.2842E-12;1.9814E-12
Ag110m;1.1995E-11;4.6267E-12
Ag111;1.9571E-4;7.0465E-6
Ag111m;1.9489E-4;7.0192E-6
Ag112;1.1741E-4;8.4528E-6
Ag113;1.0372E-4;7.7373E-6
Ag113m;1.5136E-4;9.8664E-6
Ag114;1.2795E-4;7.8048E-6
Ag114m;8.5153E-7;3.0522E-7
Ag115;6.3798E-5;5.8853E-6
Ag115m;6.1719E-5;5.8037E-6
Ag116;1.4559E-4;9.8173E-6
Ag116m;1.1234E-5;3.892E-6
Ag117;4.892E-5;7.2776E-6
Ag117m;8.1107E-5;1.158E-5
Ag118;9.6159E-5;2.4009E-5
Ag118m;5.1251E-5;1.4394E-5
Ag119;3.325E-5;6.3577E-6
Ag119m;9.1121E-5;1.4447E-5
Ag120;4.4914E-5;8.6246E-6
Ag120m;3.9574E-5;8.8309E-6
Ag121;3.1239E-5;6.9002E-6
Ag122;2.0109E-5;4.8434E-6
Ag122m;6.5502E-6;2.2556E-6
Ag123;3.4763E-6;9.6269E-7
Ag124;5.4071E-6;1.3713E-6
Ag124m;3.2183E-6;1.1174E-6
Ag125;3.483E-6;1.1829E-6
