Product;;
Product;;
Product;Yield;Error
Rh120;9.7144E-12;4.2451E-12
Rh121;1.6742E-7;1.8994E-7
Rh122;9.3067E-9;3.3861E-9
Pd104;1.1292E-6;3.1653E-7
Pd105;0.05636;0.0013526
Pd106;0.043476;9.9998E-4
Pd107;0.030075;0.0019248
Pd107m;2.1359E-6;7.2813E-7
Pd108;0.019498;9.1603E-4
Pd109;0.011058;4.2019E-4
Pd109m;0.0055344;4.1909E-4
Pd110;0.0061397;4.175E-4
Pd111;0.0028004;1.1766E-4
Pd111m;7.7777E-5;2.2558E-5
Pd112;0.0012522;6.8871E-5
Pd113;8.0037E-4;3.6043E-5
Pd113m;1.2531E-4;3.1807E-5
Pd114;5.1646E-4;2.7528E-5
Pd115;1.717E-4;1.6716E-5
Pd115m;1.5489E-4;1.5599E-5
Pd116;2.9997E-4;2.2148E-5
Pd117;1.65E-4;2.1252E-5
Pd117m;9.8284E-5;2.1329E-5
Pd118;9.3258E-5;2.3764E-5
Pd119;2.7833E-5;9.5341E-6
Pd120;1.4339E-5;5.9751E-6
Pd121;2.9027E-5;3.1822E-5
Pd122;1.1738E-5;4.1501E-6
Pd123;5.825E-7;1.386E-6
Pd124;1.4217E-7;5.1332E-8
Ag109;0.011058;4.2019E-4
Ag109m;0.011052;4.1999E-4
Ag110;3.2491E-7;1.0975E-7
Ag110m;7.3752E-7;2.566E-7
Ag111;0.0028116;1.181E-4
Ag111m;0.0027992;1.1762E-4
Ag112;0.0012552;6.897E-5
Ag113;5.3235E-4;3.0364E-5
Ag113m;7.7636E-4;3.5144E-5
Ag114;5.4057E-4;2.865E-5
Ag114m;1.9481E-5;6.5273E-6
Ag115;1.8016E-4;1.4196E-5
Ag115m;2.3064E-4;1.6027E-5
Ag116;3.4685E-4;2.1536E-5
Ag116m;9.6276E-5;2.1522E-5
Ag117;1.3479E-4;1.3623E-5
Ag117m;3.049E-4;2.133E-5
Ag118;2.1467E-4;2.2827E-5
Ag118m;2.1291E-4;2.5475E-5
Ag119;4.3844E-5;8.2781E-6
Ag119m;2.0969E-4;2.9709E-5
Ag120;6.1745E-5;1.5736E-5
Ag120m;5.5408E-5;1.7659E-5
Ag121;1.2068E-4;1.1716E-4
Ag122;4.2477E-5;1.0756E-5
Ag122m;2.7689E-5;9.1044E-6
Ag123;3.1969E-5;7.4081E-5
Ag124;8.1E-6;2.1718E-6
Ag124m;4.9423E-6;1.7681E-6
Ag125;5.6715E-6;2.3889E-6
Ag126;9.2155E-7;3.3055E-7
Ag127;1.0125E-7;3.7573E-8
Ag128;3.3336E-9;1.3432E-9
Cd110;1.0514E-6;2.7966E-7
Cd111;0.0028256;1.1865E-4
Cd111m;5.9984E-11;2.1308E-11
Cd112;0.0012552;6.897E-5
Cd113;8.0266E-4;3.6128E-5
Cd113m;9.2309E-6;1.0125E-6
Cd114;5.4116E-4;2.8681E-5
Cd115;3.4725E-4;1.9491E-5
Cd115m;1.753E-5;1.688E-6
Cd116;4.5869E-4;2.4311E-5
Cd117;3.3603E-4;1.982E-5
Cd117m;1.2146E-4;1.1991E-5
Cd118;4.569E-4;3.4727E-5
Cd119;2.9526E-4;2.9223E-5
Cd119m;1.7558E-4;2.6411E-5
Cd120;3.7764E-4;6.3288E-5
Cd121;1.7684E-4;1.6358E-4
Cd121m;1.7862E-4;1.6845E-4
Cd122;4.4274E-4;3.4125E-5
Cd123;7.9541E-5;1.7214E-4
Cd123m;1.3469E-4;2.9196E-4
Cd124;5.4114E-4;7.1824E-5
Cd125;5.7268E-5;2.0019E-5
Cd125m;1.3424E-4;4.5261E-5
Cd126;1.8447E-4;5.8064E-5
Cd127;8.4103E-5;3.0255E-5
Cd128;3.0885E-5;1.2383E-5
Cd129;2.798E-6;1.0386E-6
Cd129m;6.7548E-6;2.5068E-6
Cd130;1.0797E-7;3.8966E-8
Cd131;2.0579E-9;7.5379E-10
In113;9.218E-6;1.0111E-6
In114;8.6843E-11;1.8603E-11
In114m;6.6987E-11;1.7173E-11
In114n;3.2958E-11;1.1819E-11
In115;3.4742E-4;1.9495E-5
In115m;3.4725E-4;1.9491E-5
In116;1.8883E-8;6.8535E-9
In116m;5.6975E-8;1.4778E-8
In116n;2.8032E-8;1.0174E-8
